"Carrefour","Réponses","Seul","2 personnes","3-5 personnes","6 personnes et plus","Vert","Clignotant","Rouge","Oui","Non","Trottoir","Chaussée","Terre-plein/refuge/2 temps","Piste cyclable","Ne s'applique pas","Homme","Femme","15-19 ans","20-34 ans","35-64 ans","65 ans et plus","Schéma","Oui","Non","Ligne droite","Diagonale","Autres (préciser)","Trottoir","Terre-plein","Autres",0,"1-5 personnes","Plus de 5 personnes","Plus de 20 personnes","Mouvement tête avant","Mouvement tête pendant","Course (accélaration)","Hésitation","Aucune attention","Dispositif visuel (journal…)","Dispositif auditif (tél, casque…)",,
"CF",81,1,,,,1,,,1,,1,,,,,,1,,,,1,"CF1",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",82,1,,,,1,,,1,,1,,,,,,1,1,,,,"CF5",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",83,1,,,,1,,,1,,,,,,1,1,,,,,1,"CF1",1,,1,,,1,,,,1,,,,1,,,,,,,
"CF",84,,1,,,,,1,,1,,,,,1,1,,,1,,,"CF5",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",85,1,,,,,,1,,1,,,,,1,,1,,,1,,"CF1",1,,1,,,1,,,1,,,,,,,,1,,,,
"CF",86,,1,,,1,,,1,,1,,,,,,1,,,1,,"CF1",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",87,1,,,,1,,,1,,,,,,1,1,,,1,,,"CF5",1,,1,,,1,,,1,,,,,,,,1,,,,
"CF",88,1,,,,,,1,,1,1,,,,,,1,,1,,,"CF1",1,,,1,,1,,,1,,,,1,,,,,,,,
"CF",89,,1,,,1,,,1,,,,,,1,,1,,,1,,"CF1",1,,1,,,1,,,1,,,,,1,,,,,,,
"CF",90,1,,,,,,1,,1,1,,,,,,1,,1,,,"CF1",,1,,1,,1,,,1,,,,,1,,,,,,,
"CF",91,1,,,,1,,,1,,,,,,1,,1,,,,1,"CF5",,1,,1,,1,,,1,,,,1,,,,,,,,
"CF",92,1,,,,,,1,,1,,,,,1,1,,,1,,,"CF5",,1,,,1,,,1,1,,,,1,1,,,,,1,,
"CF",93,1,,,,1,,,1,,,,,,1,1,,,,,1,"CF1",,1,,,1,1,,,1,,,,1,,,,,,,,
"CF",94,1,,,,,,1,,1,,,,,1,,1,,,,1,"CF1",1,,1,,,1,,,,1,,,,1,,1,,,,,
"CF",95,1,,,,,,1,,1,,,,,1,,1,,,,1,"CF1",1,,1,,,1,,,,3,,,,1,1,,,,,,
"CF",96,,1,,,1,,,1,,1,,,,,1,,,,1,,"CF1",1,,1,,,1,,,,1,,,,,,,1,,,,
"CF",97,1,,,,,,1,,1,1,,,,,,1,,1,,,"CF5",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",98,1,,,,1,,,1,,,,,,1,1,,,1,,,"CF1",1,,1,,,1,,,1,,,,,,,,1,,,,
"CF",99,1,,,,1,,,1,,,,,,1,,1,,,1,,"CF1",,1,,1,,1,,,1,,,,1,,1,,,,,,
"CF",100,,1,,,1,,,1,,,,,,1,,1,,1,,,"CF5",1,,1,,,1,,,1,,,,,,,,1,,,,
"CF",101,1,,,,,,1,,1,1,,,,,,1,,1,,,"CF1",1,,1,,,1,,,,1,,,1,,,,,,,,
"CF",102,1,,,,1,,,1,,,,,,1,,1,,,1,,"CF5",1,,1,,,1,,,1,,,,,,,,1,,,,
"CF",103,1,,,,,,1,,1,,1,,,,1,,,,1,,"CF5",,1,,1,,1,,,1,,,,1,1,,,,,,,
"CF",104,1,,,,,,1,1,,,1,,,,,1,,,1,,"CF5",,1,,,1,1,,,,2,,,1,1,,1,,,,,
"CF",105,1,,,,1,,,1,,,,,,1,,1,,1,,,"CF1",,1,,1,,1,,,1,,,,1,,,,,,,,
"CF",106,1,,,,,,1,,1,,,,,1,1,,,,1,,"CF1",1,,1,,,1,,,1,,,,,1,,,,,,,
"CF",107,1,,,,,,1,,1,,,,,1,1,,,,,1,"CF5",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",108,1,,,,,,1,,1,1,,,,,,1,,,1,,"CF5",1,,1,,,1,,,1,,,,1,,1,1,,,,,
"CF",109,,,,,,,1,,1,1,,,,,,1,,1,,,"CF1",1,,1,,,1,,,1,,,,1,,1,,,,,,
"CF",110,,1,,,1,,,1,,1,,,,,,1,,,,1,"CF1",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",111,,,,,1,,,1,,,,,,1,1,,,,,1,"CF1",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",112,1,,,,1,,,1,,1,,,,,,1,,1,,,"CF1",,1,,1,,1,,,1,,,,,1,,,,,,,
"CF",113,,1,,,,,1,1,,1,,,,,,1,,1,,,"CF5",1,,1,,,1,,,,1,,,1,,,,,,,,
"CF",114,1,,,,,,1,,1,1,,,,,1,,,,1,,"CF1",1,,1,,,1,,,1,,,,,1,,,,,,,
"CF",115,1,,,,,,1,,1,1,,,,,,1,,,,1,"CF5",1,,1,,,1,,,1,,,,1,,1,,,,,,
"CF",116,1,,,,,,1,,1,1,,,,,1,,,,1,,"CF1",,1,,,1,1,,,,1,,,1,,,,,,,,
"CF",117,,1,,,1,,,1,,1,,,,,1,,,,,1,"CF5",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",118,1,,,,,,1,,1,1,,,,,1,,,1,,,"CF1",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",119,1,,,,,,1,,1,,,,,1,1,,,,,1,"CF1",1,,,1,,1,,,1,,,,1,,,,,,,,
"CF",120,,1,,,,,1,,1,,,,,1,,1,,,1,,"CF1",,1,,1,,,,1,1,,,,1,,,,,,,,
"CF",121,,1,,,,,1,,1,1,,,,,1,,,,,1,"CF5",1,,1,,,1,,,,1,,,1,,,,,,,,
"CF",122,,1,,,,,1,,1,1,,,,,,1,,,,1,"CF5",1,,1,,,1,,,3,,,,1,,,,,,,,
"CF",123,1,,,,1,,,1,,,,,,1,,1,,,1,,"CF1",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",124,1,,,,,,1,,1,,,,,1,,1,,,,1,"CF5",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",125,1,,,,,,1,,1,1,,,,,,1,,,,1,"CF1",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",126,1,,,,1,,,1,,,,,,1,,1,1,,,,"CF5",1,,1,,,1,,,1,,,,,,,,1,,,,
"CF",127,1,,,,,,1,,1,1,,,,,,1,,,,1,"CF1",1,,1,,,1,,,,1,,,1,,,,,,,,
"CF",128,1,,,,,,1,,1,1,,,,,,1,,,,1,"CF1",1,,1,,,1,,,,3,,,1,,,,,,,,
"CF",129,1,,,,,,,,1,,,,,1,,1,,,1,,"CF5",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",130,,1,,,1,,,1,,1,,,,,,1,,1,,,"CF1",1,,,1,,1,,,1,,,,1,,,,,,,,
"CF",131,1,,,,,,1,,1,,,,,1,1,,,1,,,"CF1",1,,1,,,1,,,,1,,,1,,,,,,,,
"CF",132,1,,,,1,,,1,,,,,,1,1,,,,,1,"CF1",1,,1,,,1,,,,3,,,1,,,,,,,,
"CF",133,1,,,,1,,,1,,,,,,1,,1,,,,1,"CF5",1,,1,,,1,,,,1,,,,1,,,,,,,
"CF",134,1,,,,1,,,1,,,1,,,,,1,,,,1,"CF5",1,,1,,,1,,,1,,,,,1,,,,,,,
"CF",135,1,,,,1,,,1,,1,,,,,1,,,,,1,"CF5",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",136,1,,,,1,,,1,,1,,,,,1,,,1,,,"CF1",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",137,1,,,,,,1,,1,,,,,1,1,,,,1,,"CF1",1,,,1,,1,,,1,,,,,1,,,,,,,
"CF",138,1,,,,,,1,,1,,,,,1,,1,,,1,,"CF1",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",139,,1,,,,,1,,1,,,,,1,,1,,,1,,"CF5",1,,1,,,1,,,1,,,,,,,,1,,,,
"CF",140,1,,,,1,,,1,,,,,,1,,1,,,1,,"CF1",1,,1,,,1,,,1,,,,1,,1,,,,,,
"CF",141,1,,,,,,1,,1,,,,,1,,1,,1,,,"CF1",,1,,,1,,,1,1,,,,1,1,,,,,1,,
"CF",142,,,1,,,,1,1,,,1,,,,,1,,,,1,"CF1",1,,1,,,1,,,,1,,,1,1,,1,,,,,
"CF",143,,1,,,1,,,1,,,,,,1,1,,,1,,,"CF1",1,,1,,,1,,,1,,,,,,,,1,,,,
"CF",144,,1,,,1,,,1,,,,,,1,1,,,,,1,"CF5",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",145,1,,,,1,,,1,,1,,,,,,1,,,1,,"CF1",1,,,1,,1,,,1,,,,1,,,,,,,,
"CF",146,1,,,,,,1,1,,1,,,,,,1,,,,1,"CF1",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",147,1,,,,,,1,1,,1,,,,,,1,,1,,,"CF5",1,,1,,,1,,,1,,,,,1,,,,,,,
"CF",148,1,,,,,,1,,1,1,,,,,1,,,,1,,"CF1",1,,,1,,1,,,1,,,,1,,,,,,,,
"CF",149,1,,,,,,1,,1,1,,,,,1,,,,1,,"CF5",1,,1,,,1,,,1,,,,,,,,1,,,,
"CF",150,1,,,,,,1,,1,1,,,,,1,,,1,,,"CF5",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",151,1,,,,,,1,,1,1,,,,,,1,,1,,,"CF1",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",152,1,,,,,,1,,1,1,,,,,1,,,,1,,"CF5",1,,1,,,1,,,1,,,,,1,,,,,,,
"CF",153,1,,,,1,,,1,,,,,,1,,1,,1,,,"CF5",1,,1,,,1,,,1,,,,,,,,1,,,,
"CF",154,1,,,,,,1,,1,,,,,1,,1,,1,,,"CF1",1,,,1,,,,1,1,,,,1,,1,,,,,,
"CF",155,1,,,,,,1,,1,,,,,1,,1,,,,1,"CF5",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",156,1,,,,,,1,,1,1,,,,,,1,,1,,,"CF1",1,,1,,,1,,,,3,,,1,,,,,,,,
"CF",157,,1,,,,,1,,1,1,,,,,,1,,,1,,"CF1",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",158,,1,,,,,1,,1,,1,,,,,1,,,1,,"CF1",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",159,1,,,,,,1,,1,,1,,,,,1,,,,1,"CF1",,1,,1,,1,,,,2,,,1,,,,,,1,,
"CF",160,,1,,,,,1,,1,1,,,,,,1,,,1,,"CF1",1,,1,,,1,,,,2,,,,,,,1,,,,
"CF",161,1,,,,1,,,1,,,,,,1,,1,,1,,,"CF1",1,,1,,,1,,,1,,,,,1,,,,,,,
"CF",162,,1,,,,,1,,1,1,,,,,1,,,,,1,"CF5",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",163,1,,,,1,,,1,,,,,,1,,1,,,,1,"CF1",1,,1,,,1,,,,3,,,,,,,1,,,,
"CF",164,1,,,,,,1,,1,1,,,,,1,,,,1,,"CF5",1,,1,,,1,,,,1,,,1,,1,,,,,,
"CF",165,,1,,,1,,,1,,1,,,,,,1,,1,,,"CF1",1,,1,,,1,,,1,,,,,1,,,,,,,
"CF",166,1,,,,1,,,1,,,,,,1,,1,,,1,,"CF5",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",167,1,,,,,,1,,1,,,,,1,1,,,,1,,"CF1",1,,,1,,1,,,1,,,,,1,,,,,,,
